Store Name,Year,Month,Taxable Sales,Non-Taxable Sales,Total Store Sales,Cash,Credit Card,Transaction Count,Total Paidout
Yummy Drive Thru [101160],2024,February,"$93,197.68","$15,267.95","$114,756.59","$49,210.87","$57,870.57",7222,$98.25
Yummy Drive Thru [101160],2024,January,"$97,337.37","$14,373.73","$118,277.48","$50,146.15","$61,937.97",7408,$20.00
Yummy Drive Thru [101160],2024,July,"$128,389.70","$17,355.21","$154,411.17","$65,196.09","$81,755.97",9213,$120.00
Yummy Drive Thru [101160],2024,June,"$126,677.72","$15,599.38","$150,827.85","$63,740.26","$80,435.23",9280,$256.00
Yummy Drive Thru [101160],2024,March,"$108,404.88","$14,013.14","$129,735.66","$55,081.37","$68,690.27",8254,$274.20
Yummy Drive Thru [101160],2024,May,"$127,887.97","$19,508.38","$156,028.74","$63,566.75","$82,262.58",9582,$18.97
Yummy Drive Thru [101160],2024,November,"$115,301.49","$15,079.12","$138,163.42","$55,461.72","$76,075.27",8098,$50.26
Yummy Drive Thru [101160],2024,October,"$120,649.42","$17,527.08","$146,320.24","$60,770.49","$76,262.15",8865,$65.38
Yummy Drive Thru [101160],2024,September,"$124,966.21","$15,235.24","$148,636.59","$62,991.65","$78,591.05",8998,$47.92
Yummy Drive Thru [101160],2025,April,"$124,533.63","$13,090.25","$146,039.15","$55,074.68","$89,711.72",9297,N/A
Yummy Drive Thru [101160],2025,August,"$137,117.68","$19,745.64","$166,118.88","$62,220.27","$95,821.73",9605,$48.49
Yummy Drive Thru [101160],2025,December,"$123,641.64","$21,221.15","$153,209.22","$52,944.81","$90,581.95",8204,$103.48
Yummy Drive Thru [101160],2025,February,"$98,100.46","$16,014.78","$120,737.02","$41,243.02","$68,832.46",7097,N/A
Yummy Drive Thru [101160],2025,January,"$105,173.28","$16,771.20","$129,043.66","$48,393.78","$71,992.37",7342,N/A
Yummy Drive Thru [101160],2025,July,"$138,442.11","$20,422.73","$168,209.35","$57,603.47","$98,656.20",9749,$6.41
Yummy Drive Thru [101160],2025,June,"$139,752.42","$23,338.22","$172,524.35","$60,988.55","$102,975.49",10126,$48.42
Yummy Drive Thru [101160],2025,March,"$121,371.06","$21,577.60","$151,118.40","$55,484.42","$84,109.58",8997,$31.02
Yummy Drive Thru [101160],2025,May,"$140,938.96","$18,748.19","$169,199.13","$59,170.03","$102,047.26",10317,$72.75
Yummy Drive Thru [101160],2025,November,"$122,461.71","$21,880.06","$152,608.47","$52,765.48","$88,317.38",8301,$50.00
Yummy Drive Thru [101160],2025,October,"$128,154.40","$20,081.43","$156,886.22","$55,090.36","$93,971.83",8698,$32.00
Yummy Drive Thru [101160],2025,September,"$125,464.39","$18,201.41","$152,134.82","$55,216.95","$89,709.88",8949,N/A
Yummy Drive Thru [101160],2026,April,"$22,922.93","$3,536.46","$28,006.71","$9,300.53","$17,085.97",1514,$20.00
Yummy Drive Thru [101160],2026,February,"$95,332.24","$17,193.36","$118,960.12","$35,212.18","$72,694.16",6446,$13.86
Yummy Drive Thru [101160],2026,January,"$109,930.85","$17,838.96","$135,190.48","$47,934.33","$79,236.12",7344,$200.00
Yummy Drive Thru [101160],2026,March,"$112,649.56","$21,162.94","$141,415.93","$44,599.80","$86,011.58",8093,N/A
